"articulo_wikipedia","link_completo","links"
"Elías Trabulse","http://ceh.colmex.mx/investigadores/trabulse.htm ","http://ceh.colmex.mx/investigadores/trabulse.htm "
"Josefina Zoraida Vázquez","http://ceh.colmex.mx/investigadores/vazquez.htm ","http://ceh.colmex.mx/investigadores/vazquez.htm "
"Wikipedia:Café/Portal/Archivo/Políticas/2013/12","http://cell.colmex.mx/ ","http://cell.colmex.mx/ "
"Wikipedia:Café/Archivo/2013/Diciembre","http://cell.colmex.mx/ ","http://cell.colmex.mx/ "
"Liliana Weinberg Marchevsky","http://cell.colmex.mx/ ","http://cell.colmex.mx/ "
"Pedro Martín Butragueño","http://cell.colmex.mx/index.php/planta-academica/linguistica/pedromartinbutragueno","http://cell.colmex.mx/index.php/planta-academica/linguistica/pedromartinbutragueno/ "
"Pedro Martín Butragueño","http://cell.colmex.mx/index.php/planta-academica/linguistica/pedromartinbutragueno","http://cell.colmex.mx/index.php/planta-academica/linguistica/pedromartinbutragueno "
"Aurelio González Pérez","http://cell.colmex.mx/index.php/planta-academica/literatura-hispanica ","http://cell.colmex.mx/index.php/planta-academica/literatura-hispanica "
"Raúl Ávila","http://cell.colmex.mx/index.php/raul-avila ","http://cell.colmex.mx/index.php/raul-avila "
"Discusión:Alejandro Nadal","http://centros.colmex.mx/cee/index.php/planta/105-alejandro-nadal.html ","http://centros.colmex.mx/cee/index.php/planta/105-alejandro-nadal.html "
"Alejandro Nadal","http://centros.colmex.mx/cee/index.php/planta/105-alejandro-nadal.html ","http://centros.colmex.mx/cee/index.php/planta/105-alejandro-nadal.html "
"Roberto Blancarte","http://ces.colmex.mx/ ","http://ces.colmex.mx/ "
"Wikipedia:Artículos solicitados/Solicitudes/Biografías","http://ces.colmex.mx/120 ","http://ces.colmex.mx/120 "
"Wikipedia:Artículos solicitados/Solicitudes/Sociedad","http://ces.colmex.mx/120 ","http://ces.colmex.mx/120 "
"Wikipedia:Artículos solicitados","http://ces.colmex.mx/120 ","http://ces.colmex.mx/120 "
"Wikipedia:Artículos solicitados/Solicitudes/Respaldo","http://ces.colmex.mx/120 ","http://ces.colmex.mx/120 "
"Roberto Blancarte","http://ces.colmex.mx/121 ","http://ces.colmex.mx/121 "
"Gabriela Cano Ortega","http://ces.colmex.mx/125 ","http://ces.colmex.mx/125 "
"Usuaria:Rosymonterrey/Debate Feminista","http://ces.colmex.mx/2/academicos/E_Urrutia.html ","http://ces.colmex.mx/2/academicos/E_Urrutia.html "
